Word,Importance
such,-0.08484421865438772
shore,-0.08596867315120722
against,-0.086031513753814
trade,-0.08743758766997593
Florida,-0.088670781365736
who,-0.08985056989124494
and,-0.09114079856610201
case,-0.09221225052951874
attempted,-0.09254445942291223
voters,-0.09307153722926637
police,-0.09313740331708516
losses,-0.09322081549161543
frequent,-0.09477467089599287
not,-0.09514222329747975
Saturday,-0.09701228438484133
political,-0.09922372854124839
only,-0.10370235579277845
line,-0.10441912201475775
washed,-0.10741438817659883
for,-0.12330249059806125
32,-0.12740885466490523
d,-0.12891020984528834
suspect,-0.13044241848228796
ISLAND,-0.13267276715374518
without,-0.13825948087766862
mostly,-0.13839280184849465
represented,-0.14912491735124545
though,-0.15038287636936973
Congress,-0.16311593011039102
Trump,-0.16789332055903758
enforcement,-0.17100421930013987
should,-0.17367158957098774
Republicans,-0.1781887158279153
saddened,-0.19010767490844735
in,-0.22660910447597532
was,-0.29718711438222695
said,-0.640458261250217
Reuters,-0.6613092992385298
to,-0.6998471558436654
S,-1.278197817908995
their,-1.3210922572077062
s,-4.080159926846852
